Country Name,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Belarus,CO2 emissions,107685.0735,103868.8405,93725.40616,81055.98124,69157.58591,61885.26538,62736.94525,63128.69381,61441.28256,59261.77198,57479.17216,56189.71182,56317.694,56933.39009,62103.45378,63085.21936,67605.06398,64247.68088,67238.49393,64889.7129,69640.94404,65534.30875,66477.7411,66653.61693
Belarus,Electric power consumption (kWh per capita),4380.900972,4426.034923,3912.881754,3450.239281,3068.348489,2789.974495,2806.496063,2953.049323,3016.287615,3002.889885,2988.705647,3009.568896,3000.912316,3062.978463,3174.100719,3245.679396,3366.305706,3394.246862,3481.738035,3298.622068,3563.856691,3628.523171,3697.590871,3648.320304
Belgium,Forest area (% of land area),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,22,22,22,22,22,22,22,22,22,22,23,23,23
Belgium,CO2 emissions,115994.9278,119995.8292,117483.4804,115255.7201,120404.2541,121864.4,127126.9342,123464.6411,127079.8827,122585.1321,123320.6441,122972.2172,116708.383,124182.5092,121218.5878,116820.1946,114716.3729,111277.0226,114778.5752,104785.6578,111211.4998,102671.9787,98124.13464,98362.87043
Belgium,Electric power consumption (kWh per capita),6380.31322,6655.414381,6850.663773,6881.072143,7176.240507,7379.737079,7527.688545,7701.612131,7913.05858,7944.129807,8247.677113,8267.187216,8311.892679,8411.900657,8576.223497,8509.997073,8683.671285,8614.491281,8521.49674,7903.029252,8387.616784,8021.366172,7987.691861,7966.686748
Belize,Forest area (% of land area),71,70,69,69,68,67,67,66,65,65,64,64,63,63,62,62,62,62,61,61,61,61,61,60
Belize,CO2 emissions,499.2928208,530.9658233,499.2772682,478.1828541,485.3943142,502.662387,506.478452,668.6467028,616.3302623,689.9267921,697.371906,820.2524425,787.3406014,785.6755183,803.5184191,788.4644966,797.8747911,826.282511,815.2331202,853.2632774,945.8397703,940.6989168,945.3436492,974.3846488
Belize,Electric power consumption (kWh per capita),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Benin,Forest area (% of land area),51,50,50,49,49,48,47,47,46,46,45,44,44,44,43,43,42,42,41,41,40,40,40,39
Benin,CO2 emissions,389.8757347,341.5233049,372.0597179,376.6833846,382.5483939,390.0818765,1067.231392,1358.538811,1307.685683,1440.081525,1537.860063,1849.123276,2138.171699,2395.348558,2553.12624,2798.639462,3855.528255,4386.67716,4353.017822,4670.62499,5040.43638,5265.68535,5423.605409,5713.779225
Benin,Electric power consumption (kWh per capita),-1,-1,-1,-1,38.8816329,-1,43.87727445,47.3173648,44.29852747,51.33157214,57.41530954,-1,-1,-1,-1,-1,73.07208425,77.40331849,83.69063439,-1,-1,-1,-1,-1
Bermuda,Forest area (% of land area),20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Bermuda,CO2 emissions,535.0954,478.6658658,386.9966367,388.1319701,406.3181135,414.0391564,431.1395072,385.0189975,374.9509124,376.5684324,432.3077001,448.185524,446.528003,465.832608,485.1893639,468.8273702,465.0496156,449.2464268,460.327975,465.8580366,496.1567006,541.2902037,542.3881511,559.0448065
Bermuda,Electric power consumption (kWh per capita),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bhutan,Forest area (% of land area),54,54,54,54,64,64,64,65,65,65,65,66,66,66,69,70,70,70,70,71,71,71,71,72
Bhutan,CO2 emissions,734.1757916,738.5642171,677.750635,610.072927,835.7806485,742.585496,758.0309759,852.4100135,819.9944096,836.7081557,612.4515869,631.8302877,555.2174356,548.3793466,595.0288313,609.1184818,676.3770866,732.6773225,799.7135961,1067.680309,1166.187609,1357.834679,1365.306532,1453.727241
Bhutan,Electric power consumption (kWh per capita),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bolivia,Forest area (% of land area),58,58,57,57,57,57,56,56,56,56,55,55,55,55,54,54,54,53,53,52,52,52,51,51
Bolivia,CO2 emissions,6370.983632,6613.154851,7118.190915,8347.953254,8979.099713,8285.109284,8037.703426,8748.010045,8547.357696,8113.705924,8202.639536,7684.714921,8188.674018,8925.741087,9596.792382,10307.09141,11097.91251,12040.08771,13106.17324,13833.57784,15140.70643,16405.56399,16930.32997,17108.87341
Bolivia,Electric power consumption (kWh per capita),266.4723524,281.3005495,291.2349498,314.2776069,334.9569422,354.1827128,372.7917724,391.5709338,408.658731,421.9873367,419.808737,420.7675318,434.3985902,441.9766595,452.1763566,482.1703804,513.0693732,545.3592985,534.4838434,553.6541945,604.3407881,637.3137844,663.3614494,705.2931409
Bosnia and Herzegovina,Forest area (% of land area),43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
Bosnia and Herzegovina,CO2 emissions,24441.45735,21880.76257,16169.11431,13568.60323,3277.933296,3492.090713,4376.361372,8702.064983,11011.62148,10856.55369,14237.30375,14041.6441,14787.57006,15135.94351,16136.21822,17014.45244,18896.17643,19911.64092,21819.97739,21856.78574,22539.13982,25418.91484,24879.85478,24756.52825
Bosnia and Herzegovina,Electric power consumption (kWh per capita),2896.401941,2073.504168,1093.888661,697.1464807,881.4564998,946.8256722,1112.671359,1368.752438,1755.079189,1814.559761,2007.973892,2044.346637,2065.200466,2201.286612,2284.446526,2347.277609,2339.19256,2334.38131,2919.98253,2814.943826,3048.817055,3194.417988,3276.025952,3219.012364
Botswana,Forest area (% of land area),24,24,24,24,23,23,23,23,23,22,22,22,22,21,21,21,21,21,20,20,20,20,20,19
Botswana,CO2 emissions,2983.012489,2948.918963,3577.093807,3527.606348,3391.956724,3521.652565,3163.005859,3373.180353,4069.158759,4120.129714,4386.161648,4087.823374,4266.083058,4191.96631,4307.421934,4609.751104,4610.247701,4565.362105,4623.629886,4416.650827,5189.792918,4827.375565,5028.285137,6087.695547
Botswana,Electric power consumption (kWh per capita),717.4880093,796.4239088,864.1154491,859.7959418,897.2572256,872.3008632,898.3594393,963.030563,1029.729261,1012.077023,1093.529289,1164.234842,1216.227713,1305.209016,1423.396432,1413.624334,1446.981043,1491.376796,1501.626635,1489.130197,1554.815803,1523.180773,1513.956626,1563.512228
Brazil,Forest area (% of land area),65,65,65,64,64,64,64,63,63,63,62,62,62,61,61,61,60,60,60,60,60,60,59,59
Brazil,CO2 emissions,220388.4066,226529.429,230700.4335,239324.3838,246930.2753,265565.9136,287104.5639,305149.6411,313898.4965,323097.9219,338016.396,340732.5916,340603.6835,335670.8549,353851.7365,356067.0401,363134.0144,379565.4945,399717.0796,373530.7451,423797.63,442313.2943,457076.9897,485619.8667
Brazil,Electric power consumption (kWh per capita),1447.260132,1473.892492,1483.295598,1528.208652,1558.668465,1627.015527,1680.058678,1755.222281,1800.588403,1823.54842,1886.601709,1735.954761,1791.620533,1863.627725,1933.983634,1990.643638,2044.858925,2137.764992,2198.48369,2165.684743,2339.44492,2394.398488,2463.276177,2529.30371
British Virgin Islands,Forest area (% of land area),25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
British Virgin Islands,CO2 emissions,46.17600674,45.06264001,46.76797672,43.26857033,45.85783789,46.74708469,52.30234904,48.33749733,50.20382359,51.62183644,54.21710412,56.58302468,55.2002176,60.45323038,64.40141642,63.84922368,64.00774441,72.42527633,73.35520748,75.62912673,80.99235876,84.29433782,84.65796106,87.25687677
British Virgin Islands,Electric power consumption (kWh per capita),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Brunei,Forest area (% of land area),78,78,78,77,77,77,77,76,76,76,75,75,75,74,74,74,73,73,73,72,72,72,72,72
Brunei,CO2 emissions,3332.038151,3667.561248,3864.121645,4042.047912,4335.132433,4673.408578,4899.946613,5446.824087,4629.332419,4544.851273,4833.351264,4809.747627,4742.509257,5651.569622,5231.61478,5139.561899,7643.826481,7246.107034,7949.485758,7934.170139,7289.355747,7463.069723,7127.337524,7079.217028
Brunei,Electric power consumption (kWh per capita),4355.119308,4505.134946,4853.137443,5305.362205,5618.896191,6430.290499,6877.192518,7677.258141,7810.700186,7430.237298,7605.413941,7244.699977,7446.495604,8642.367339,8687.095867,8538.52977,8480.239033,8625.777455,8558.612974,8768.213289,8705.778257,8657.054949,9092.209355,9703.547275
Bulgaria,Forest area (% of land area),30,30,30,30,30,30,30,30,30,30,31,31,32,33,33,34,34,34,34,34,34,35,35,35
Bulgaria,CO2 emissions,81398.01215,62312.07416,59866.2746,61551.83676,59136.08665,59561.96424,60794.83476,56902.15306,53161.87679,47835.85794,47533.42304,49510.41602,46860.92093,52892.35668,50975.41404,52067.64162,53142.81872,57077.99599,53939.92534,45887.28213,48473.22815,53631.11312,53304.67402,47706.90072
Bulgaria,Electric power consumption (kWh per capita),4758.731903,4361.144516,3735.525454,3807.696906,3825.386616,4211.125131,4350.443259,3970.131139,3932.401784,3613.367267,3673.606871,3853.729831,3838.485459,3973.256666,3939.000877,4121.629478,4311.327935,4523.322878,4674.503151,4483.747139,4560.414917,4863.691441,4761.912583,4639.706323
Burkina Faso,Forest area (% of land area),25,25,25,24,24,24,24,23,23,23,23,23,22,22,22,22,22,21,21,21,21,20,20,20
Burkina Faso,CO2 emissions,726.6358779,871.416063,882.3957677,921.8391075,1057.408024,1107.652887,1137.535317,1409.519222,1284.704405,1232.927096,1189.141766,1239.955781,1161.749926,1265.306231,1330.976275,1410.860198,1479.27803,1671.582547,1991.0606,1934.786159,2110.636353,2186.597881,2264.75463,2291.935991
Burkina Faso,Electric power consumption (kWh per capita),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Burundi,Forest area (% of land area),11,11,11,10,10,9,9,9,8,8,8,8,7,7,7,7,8,8,9,9,10,10,10,10
Burundi,CO2 emissions,423.0780675,503.3807814,502.5200113,525.4061638,620.8563437,645.4450742,649.546708,746.0790566,668.8736923,624.2014006,585.8159698,671.2209773,676.2475765,754.4050217,767.1924099,758.2971919,762.0972948,830.2246463,879.8146828,840.8713775,916.0946626,967.0503473,1007.554979,1044.444915
Burundi,Electric power consumption (kWh per capita),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cambodia,Forest area (% of land area),73,73,72,71,70,69,69,68,67,66,65,64,64,63,62,61,60,59,59,58,57,56,56,55
Cambodia,CO2 emissions,926.004026,865.390353,843.364811,854.175074,873.437719,1480.652476,1639.481646,1750.86661,1966.420986,1918.702936,1976.63814,2162.12519,2221.713196,2390.98268,2391.38242,2662.51771,2971.81899,3467.694,3923.1632,4098.90493,4137.20874,4458.29154,4650.2258,4784.088858
Cambodia,Electric power consumption (kWh per capita),-1,-1,-1,-1,-1,13.46491674,19.95978647,24.16495741,26.54295075,30.09647807,32.62855384,36.38881278,50.14988191,51.31298853,55.52024529,66.51622688,80.44148178,100.2279895,114.1839258,127.4715103,143.7663269,164.5298233,206.5093946,220.7769918
Cameroon,Forest area (% of land area),51,51,51,50,50,49,49,48,48,47,47,46,46,45,45,44,44,44,43,43,42,42,41,41
Cameroon,CO2 emissions,4553.556575,4329.054526,4152.62533,4525.048362,9392.861683,9252.338727,8724.092653,8732.363139,9010.877676,8801.806493,8976.85422,8612.334087,8272.849028,8182.660424,8465.117048,8504.05506,8717.142148,9694.639286,10023.52295,10611.5032,10068.70625,9878.559351,10007.20247,10682.31865
Cameroon,Electric power consumption (kWh per capita),194.2775687,187.7668226,184.4219844,186.5731143,163.3593352,156.2861753,161.6238828,171.0405622,168.0496511,172.8088804,170.7087515,160.923691,151.1373983,163.0795458,187.914856,182.3798854,240.7363424,249.1338236,262.7945913,261.176829,258.3209305,253.7517641,260.76332,278.0583424
Canada,Forest area (% of land area),38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
Canada,CO2 emissions,448958.8075,441895.3926,453674.5538,451499.9676,468618.9378,481142.7628,495309.4138,512190.7946,519037.8675,529547.2827,551434.2302,542566.3497,549514.8955,569529.2927,562069.2665,557423.2471,545677.3582,570973.7436,563980.2408,532609.0335,545087.946,551260.8099,556797.2276,568364.4377
Canada,Electric power consumption (kWh per capita),16109.27998,16104.46973,16080.34644,16235.99151,16325.65728,16503.27042,16572.68325,16608.55298,16385.40196,16625.3869,16990.57839,16807.14499,16959.60079,17191.15419,17235.41178,17012.78163,16560.99591,16771.07783,16459.68647,15537.59153,15341.50262,15738.82487,15322.65853,15519.33597
Cape Verde,Forest area (% of land area),14,15,16,16,17,17,18,19,19,20,20,20,21,21,21,21,21,21,21,21,21,21,22,22
Cape Verde,CO2 emissions,44.8924021,49.42017616,48.21698624,46.96949488,43.01911098,46.36958572,48.69948172,54.33697901,51.49532324,53.18442045,76.68842731,65.95888369,66.95621115,68.35534382,70.48985358,72.30684769,72.18256587,79.68742469,82.14810968,81.41278258,87.13190618,90.97952115,92.69117377,95.21072791
Cape Verde,Electric power consumption (kWh per capita),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cayman Islands,Forest area (% of land area),53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
Cayman Islands,CO2 emissions,224.4280326,231.382532,229.4811675,193.9915101,223.3006866,247.4405766,253.5194329,224.8606736,218.9946118,219.6766992,230.2622261,246.4908545,242.086772,247.543767,271.7598128,268.0238884,264.5901546,289.5216935,296.7832132,302.9071572,320.6527448,343.5366464,344.4382784,355.0254515
Cayman Islands,Electric power consumption (kWh per capita),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Central African Republic,Forest area (% of land area),36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
Central African Republic,CO2 emissions,233.9755514,274.3338995,279.7308917,287.5907182,337.3312101,355.6250391,343.9715185,402.3323073,368.803678,362.5172076,354.4796912,370.5131405,362.8012008,384.0306966,386.0688748,381.5884586,389.4796681,426.6454538,447.6378297,434.2672373,470.5996276,490.4205732,505.0271726,518.6998251
Central African Republic,Electric power consumption (kWh per capita),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chad,Forest area (% of land area),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4
Chad,CO2 emissions,406.9292264,465.6338298,479.9967174,457.6864346,608.1752875,640.1843415,647.9398664,757.9826048,680.8585172,709.7472177,672.9566145,715.3688147,730.5442183,910.4489162,939.3587863,948.5470502,965.6054144,1084.891392,1054.533367,1017.267858,1083.862979,1126.044065,1306.419398,1389.001352
Chad,Electric power consumption (kWh per capita),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chile,Forest area (% of land area),21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,23,23
Chile,CO2 emissions,33294.06672,31569.96753,32669.96411,34649.81557,37795.68099,41734.05025,48093.52262,55242.30283,55790.04149,58913.84984,54534.26405,52219.73702,52303.54443,54134.02105,58786.35661,59992.65955,61386.2789,69783.31302,72827.21618,69134.82512,73590.33144,80151.25064,78538.48032,83115.00331
Chile,Electric power consumption (kWh per capita),1250.190051,1327.836476,1473.508179,1533.021025,1608.950644,1768.354569,1952.136771,2096.604991,2204.805063,2422.084627,2527.621741,2655.677167,2752.410909,2919.970592,3084.059134,3112.215639,3237.216248,3353.155718,3350.787039,3307.554499,3316.182241,3590.308991,3810.118184,3878.905768
China,Forest area (% of land area),17,17,17,17,18,18,18,18,18,19,19,19,20,20,20,21,21,21,21,21,21,22,22,22
China,CO2 emissions,2293539.566,2416010.558,2509985.857,2823536.091,2998237.745,3303544.089,3283611.683,3385260.187,3443249.876,3372138.62,3631896.977,3796589.482,4090986.204,4755561.928,5481925.978,6174716.603,6870758.866,7515037.459,7699948.752,8246582.412,8986614.439,9844524.979,10056756.04,10503137.04
